loss,mape,val_loss,val_mape
0.01629706658422947,83577.5625,0.01066521555185318,25.813518524169922
0.007983450777828693,28171.06640625,0.007348209153860807,25.31381607055664
0.006945434492081404,37131.9140625,0.005222130101174116,39.63316345214844
0.005605631973594427,26918.41796875,0.0042755259200930595,23.68964958190918
0.004969789646565914,28863.37109375,0.0061270371079444885,39.31053161621094
0.004722874611616135,29789.2109375,0.004216248169541359,19.314207077026367
0.004796546418219805,33144.9140625,0.004248020704835653,20.521665573120117
0.0043691424652934074,34475.69921875,0.0036921033170074224,21.00285530090332
0.004325587302446365,43668.23828125,0.0032020455691963434,25.476377487182617
0.004087332170456648,22663.3203125,0.003228724468499422,17.10434913635254
0.00392434885725379,28540.126953125,0.0032711662352085114,20.072689056396484
0.0038762520998716354,22679.634765625,0.0035538633819669485,17.451086044311523
0.004000915680080652,34810.35546875,0.0035224088933318853,25.1956787109375
0.0037384075112640858,24201.115234375,0.0033130012452602386,17.877138137817383
0.003658268367871642,23823.359375,0.0037508851382881403,24.268718719482422
0.0034904340282082558,31849.75,0.0033691052813082933,32.022682189941406
0.003766153007745743,29220.138671875,0.0029958358500152826,17.262033462524414
0.0035877604968845844,31945.58984375,0.002954748459160328,21.51305389404297
0.0034840728621929884,34978.265625,0.00304939947091043,17.88401222229004
0.0034034363925457,21889.619140625,0.004001534543931484,21.164457321166992
0.0035182686988264322,29676.1171875,0.0033644004724919796,20.99496078491211
0.003405572846531868,23905.005859375,0.0039567770436406136,29.184507369995117
0.0033474580850452185,31794.072265625,0.0029380125924944878,16.69869041442871
0.0033468506298959255,27457.333984375,0.0037143530789762735,22.319183349609375
0.003440535394474864,39337.58984375,0.0030155987478792667,33.76142501831055
0.003253866219893098,22576.837890625,0.0031832484528422356,18.98343276977539
0.003267687512561679,22255.875,0.0029363136272877455,30.867734909057617
0.0032821702770888805,25412.048828125,0.003498892765492201,25.943885803222656
0.003184800036251545,19967.033203125,0.004037981387227774,18.21770477294922
0.0032810058910399675,29462.306640625,0.003316323272883892,40.87879943847656
